source,label,rows_today,key,rule,status
sleeper,pass_completions,36,passing-completions,manual,mapped
sleeper,passing_attempts,36,pass-attempts,manual,mapped
underdog,Hits Allowed,36,pitcher-hits-allowed,app-alias,mapped
underdog,Tackles + Assists,36,tackles-assists,manual,mapped
sleeper,outs,34,pitcher-outs,app-alias,mapped
underdog,Defensive INTs,34,defensive-interceptions,manual,mapped
draftkings,Earned Runs Allowed,33,earned-runs,manual,mapped
draftkings,Walks Allowed,33,pitcher-walks-allowed,manual,mapped
underdog,Significant Strikes,33,,no-app-sport,no-app-sport
4codds,TOTAL EARNED RUNS,32,earned-runs,source-manual,mapped
pinnacle,Total Pass Completions,32,passing-completions,manual,mapped
steezanomics,Longest Completion,32,longest-completion,app-alias,mapped
underdog,Solo Tackles,32,solo-tackles,manual,mapped
comparenbet,player_rush_tds,31,rushing-tds,manual,mapped
draftkings,Passing Touchdowns,31,passing-tds,app-alias,mapped
sleeper,extra_point_made,31,extra-points-made,manual,mapped
underdog,Goals,31,goals,app-alias,mapped
pinnacle,Total Pass Attempts,30,pass-attempts,manual,mapped
underdog,Walks Allowed,30,pitcher-walks-allowed,manual,mapped
betmgm,Passing Attempts,29,pass-attempts,manual,mapped
steezanomics,Passing Attempts,29,pass-attempts,manual,mapped
underdog,Earned Runs Allowed,29,earned-runs,manual,mapped
comparenbet,player_punting_numPunts,28,,none,unmapped
draftkings,Interceptions Thrown,28,interceptions-thrown,manual,mapped
sleeper,interceptions,28,interceptions-thrown,manual,mapped
sleeper,points,28,points,app-alias,mapped
steezanomics,Completions,28,passing-completions,manual,mapped
steezanomics,Interceptions,28,interceptions-thrown,manual,mapped
betrivers,Strikeouts,27,pitcher-strikeouts|batter-strikeouts,position,position
fanduel,Strikeouts,27,pitcher-strikeouts|batter-strikeouts,position,position
pinnacle,Total Interceptions,27,interceptions-thrown,manual,mapped
underdog,Pts + Rebs + Asts,27,points-rebounds-assists,manual,mapped
betmgm,Longest Pass,26,longest-pass,manual,mapped
betmgm,Pass Completions,26,passing-completions,manual,mapped
betrivers,Yards of Longest Rush,26,longest-rush,manual,mapped
sleeper,goals_against,26,goals-against,app-alias,mapped
betrivers,Outs,25,pitcher-outs,app-alias,mapped
sleeper,earned_runs,24,earned-runs,app-alias,mapped
sleeper,hits_allowed,24,pitcher-hits-allowed,app-alias,mapped
steezanomics,Earned Runs,24,earned-runs,app-alias,mapped
underdog,1st Inn. Batters Faced,24,1i-pitcher-batters-faced,period+manual,mapped
underdog,1st Inn. Hits Allowed,24,1i-pitcher-hits-allowed,period+app-alias,mapped
underdog,1st Inn. Pitch Count,24,1i-pitcher-pitches-thrown,period+manual,mapped
underdog,1st Inn. Runs Allowed,24,1i-pitcher-runs-allowed,period+manual,mapped
underdog,1st Inn. Strikeouts,24,1i-pitcher-strikeouts|1i-batter-strikeouts,period+position,position
underdog,1st Round Finish,24,,no-app-sport,no-app-sport
underdog,2nd Round Finish,24,,no-app-sport,no-app-sport
underdog,3rd Round Finish,24,,no-app-sport,no-app-sport
underdog,Finishes,24,,no-app-sport,no-app-sport
underdog,Knockouts,24,,no-app-sport,no-app-sport
underdog,Submissions,24,,no-app-sport,no-app-sport
comparenbet,player_1st_td,23,first-td-scorer,manual,mapped
sleeper,strike_outs,23,pitcher-strikeouts|batter-strikeouts,position,position
steezanomics,Outs,23,pitcher-outs,app-alias,mapped
steezanomics,Strikeouts,23,pitcher-strikeouts|batter-strikeouts,position,position
pinnacle,Total Strikeouts,22,pitcher-strikeouts,source-manual,mapped
sleeper,walks,22,pitcher-walks-allowed|walks,position,position
underdog,Points + Rebounds,22,points-rebounds,manual,mapped
underdog,Qualifying Position,22,,no-app-sport,no-app-sport
comparenbet,player_pitching_win,21,pitcher-win,manual,mapped
steezanomics,Hits Allowed,21,pitcher-hits-allowed,app-alias,mapped
sleeper,assists,20,assists,app-alias,mapped
sleeper,first_half_goals_against,20,1h-goals-against,period+app-alias,mapped
sleeper,first_inning_runs,20,1i-runs,period+app-alias,mapped
comparenbet,player_passing_sacksTaken,19,,none,unmapped
pinnacle,Total Earned Runs,18,earned-runs,manual,mapped
pinnacle,Total Hits Allowed,18,pitcher-hits-allowed,manual,mapped
sleeper,rebounds,18,rebounds,app-alias,mapped
steezanomics,Threes,17,three-pointers-made,manual,mapped
underdog,Points + Assists,17,points-assists,manual,mapped
betmgm,Rushing Attempts,16,rushing-attempts,manual,mapped
pinnacle,Total Touchdowns,16,anytime-td,manual,mapped
sleeper,field_goal_made,16,field-goals-made,manual,mapped
steezanomics,Rebounds,16,rebounds,app-alias,mapped
underdog,Headshots on Map 1,16,,no-app-sport,no-app-sport
underdog,Points Won,16,points-won,manual,mapped
betmgm,Hits Allowed,15,pitcher-hits-allowed,app-alias,mapped
comparenbet,player_pitching_pitchesThrown,15,pitcher-pitches-thrown,manual,mapped
sleeper,doubles,15,doubles,app-alias,mapped
sleeper,significant_strikes,15,,no-app-sport,no-app-sport
sleeper,tackles,15,tackles,app-alias,mapped
steezanomics,Points,15,points,app-alias,mapped
underdog,Fight Time (Mins),15,,no-app-sport,no-app-sport
betrivers,Yards of Longest Completed Pass,14,longest-completion,manual,mapped
comparenbet,player_punting_puntsInside20,14,,none,unmapped
sleeper,tackles_and_assists,14,tackles-assists,manual,mapped
underdog,1st Set Aces,14,1s-aces,period+app-alias,mapped
underdog,Double Faults,14,double-faults,manual,mapped
underdog,Plus Minus,14,,none,unmapped
sleeper,atleast_birdies,13,birdies-or-better,manual,mapped
sleeper,strokes,13,strokes,manual,mapped
pinnacle,Total Field Goals,12,field-goals-made,manual,mapped
underdog,3-Pointers Made,12,three-pointers-made,manual,mapped
underdog,Shots on Goal,12,shots-on-goal,app-alias,mapped
comparenbet,player_pitching_strikesThrown,11,pitcher-strikes-thrown,manual,mapped
steezanomics,Assists,11,assists,app-alias,mapped
underdog,Rebounds + Assists,11,rebounds-assists,manual,mapped
betmgm,LongestPass,10,longest-pass,manual,mapped
betmgm,PassingRushingYards,10,pass-rush-yards,manual,mapped
oddstrader,Player To Hit A Home Run,10,home-runs,manual,mapped
sleeper,breakpts_won,10,break-points-won,manual,mapped
sleeper,goalie_fantasy_points,10,goalie-fantasy-points,manual,mapped
underdog,Assists on Maps 1+2+3,10,,no-app-sport,no-app-sport
underdog,Fantasy Points on Maps 1+2+3,10,,no-app-sport,no-app-sport
underdog,Kills on Maps 1+2+3,10,,no-app-sport,no-app-sport
betmgm,PassAttempt,9,pass-attempts,manual,mapped
betrivers,Defensive Tackles (both solo & assists),9,tackles-assists,manual,mapped
sleeper,threes_made,9,three-pointers-made,manual,mapped
betmgm,PassCompleted,8,passing-completions,manual,mapped
sleeper,home_runs,8,home-runs,app-alias,mapped
sleeper,pts_reb_ast,8,points-rebounds-assists,manual,mapped
betmgm,Interceptions Thrown,7,interceptions-thrown,manual,mapped
comparenbet,player_rushing_yardsPerAttempt,7,rush-yards-per-attempt,manual,mapped
underdog,Takedowns,7,,no-app-sport,no-app-sport
betmgm,Hits allowed,6,pitcher-hits-allowed,app-alias,mapped
betmgm,Kicking Points,6,kicking-points,manual,mapped
steezanomics,PRA,6,points-rebounds-assists,manual,mapped
underdog,1+ Pass TDs in Each Half,6,,skip:yes/no special,skip
underdog,Blocked Shots,6,blocked-shots,app-alias,mapped
betmgm,RushingAttempt,5,rushing-attempts,manual,mapped
draftkings,WR.TE Fantasy Points,5,fantasy-points,manual,mapped
sleeper,bogeys_or_worse,5,bogeys-or-worse,manual,mapped
sleeper,takedowns,5,,no-app-sport,no-app-sport
sleeper,total_fight_time,5,,no-app-sport,no-app-sport
betmgm,Extra Points Made,4,extra-points-made,manual,mapped
betmgm,Field Goals Made,4,field-goals-made,manual,mapped
comparenbet,player_shots_on_goal,4,shots-on-goal,app-alias,mapped
sleeper,stolen_bases,4,stolen-bases,app-alias,mapped
underdog,Faceoffs Won,4,,none,unmapped
underdog,Total TDs,4,anytime-td,manual,mapped
sleeper,first_touchdown,3,first-td-scorer,app-alias,mapped
sleeper,sacks,3,sacks,app-alias,mapped
underdog,Game High Rush Yards,3,,skip:who-leads special,skip
betrivers,Kicking points,2,kicking-points,manual,mapped
betrivers,Successful Field Goals,2,field-goals-made,manual,mapped
comparenbet,player_tackles,2,tackles,manual,mapped
draftkings,QB Fantasy Points,2,fantasy-points,manual,mapped
draftkings,RB Fantasy Points,2,fantasy-points,manual,mapped
sleeper,shots_on_target,2,shots-on-target,manual,mapped
underdog,1H Points,2,1h-points,period+app-alias,mapped
underdog,4th Round Finish,2,,no-app-sport,no-app-sport
underdog,5th Round Finish,2,,no-app-sport,no-app-sport
underdog,Game High Pass Yards,2,,skip:who-leads special,skip
underdog,Goals Against,2,goals-against,app-alias,mapped
underdog,Power Play Points,2,,none,unmapped
underdog,Saves,2,saves,manual,mapped
betmgm,CombinedRuns,1,,skip:ambiguous (1 market/day),skip
comparenbet,player_pitching_battersFaced,1,pitcher-batters-faced,manual,mapped
oddstrader,Player to score a touchdown,1,anytime-td,manual,mapped
oddstrader,Player to score first touchdown,1,first-td-scorer,manual,mapped
underdog,1H Assists,1,1h-assists,period+app-alias,mapped
underdog,1H Pts + Rebs + Asts,1,1h-points-rebounds-assists,period+manual,mapped
